Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
256,256,256,256,256,256,1-3037,18,16,1-3037,467,69,3,27,3094.989160180092,6.627385781970218
353,353,353,353,353,353,1-8681,11,8,1-8681,260,36,1,95,1127.4433413743973,4.336320543747682
364,364,364,364,364,364,MLG02,18,16,MLG02,755,74,3,25,3098.0640372037888,4.103396075766607
158,158,158,158,158,158,MLG12,11,8,MLG12,569,16,1,40,1054.502459526062,1.8532556406433427
201,201,201,201,201,201,1-3075,20,14,1-3075,45,1,0,63,61.64137375354767,1.3698083056343926
197,197,197,197,197,197,1-20780,2,9,1-20780,12,0,0,17,16.363545298576355,1.363628774881363
301,301,301,301,301,301,1-6684,17,11,1-6684,145,4,0,146,144.53397727012634,0.9967860501388024
307,307,307,307,307,307,1-5199,11,8,1-5199,3,1,0,2,2.9251229763031006,0.9750409921010336
195,195,195,195,195,195,1-3079,3,12,1-3079,34,0,0,34,32.72709059715271,0.9625614881515503
400,400,400,400,400,400,MLG71,14,13,MLG71,144,3,0,137,134.8709238767624,0.9366036380330721
507,507,507,507,507,507,1-19067,10,5,1-19067,8,7,0,0,7.0,0.875
346,346,346,346,346,346,1-10823,16,21,1-10823,10,0,0,9,8.663053393363953,0.8663053393363953
205,205,205,205,205,205,1-7776,14,13,1-7776,26,19,0,3,21.88768446445465,0.8418340178636404
155,155,155,155,155,155,1-7462,5,17,1-7462,336,15,0,277,281.62953221797943,0.8381831316011292
393,393,393,393,393,393,1-2292,2,9,1-2292,252,18,0,195,205.6994901895523,0.8162678182125092
384,384,384,384,384,384,1-0584,8,10,1-0584,41,11,0,21,31.213791251182556,0.7613119817361599
458,458,458,458,458,458,1-9063,8,10,1-9063,35,17,0,10,26.625614881515503,0.7607318537575858
549,549,549,549,549,549,1-10622,18,16,1-10622,4,2,0,1,2.9625614881515503,0.7406403720378876
50,50,50,50,50,50,MLG14,20,14,MLG14,462,70,0,280,339.5172166824341,0.7348857503948789
162,162,162,162,162,162,1-8242,19,7,1-8242,11,7,0,1,7.96256148815155,0.7238692261955955
235,235,235,235,235,235,1-3077,18,16,1-3077,41,1,0,29,28.91428315639496,0.7052264184486575
501,501,501,501,501,501,MLG56,17,11,MLG56,109,21,0,58,76.82856631278992,0.7048492322274305
163,163,163,163,163,163,1-1633,9,23,1-1633,399,0,0,292,281.0679545402527,0.7044309637600318
78,78,78,78,78,78,1-6677,9,23,1-6677,94,0,0,68,65.45418119430542,0.6963210765351641
253,253,253,253,253,253,1-7781,3,12,1-7781,33,19,0,4,22.8502459526062,0.6924316955335212
483,483,483,483,483,483,MLG47,14,13,MLG47,106,0,0,75,72.19211161136627,0.6810576567110026
